Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,confof-iasted,alod_emb,ALL,0.15625,0.5555555555555556,0.2,0.24390243902439024,5,27,4,32,108379841,00:00:00,0.5,SYNONYMY,alod_emb
conference,confof-iasted,alod_emb,CLASSES,0.19230769230769232,0.5555555555555556,0.2,0.28571428571428575,5,21,4,26,-,-,0.5,SYNONYMY,alod_emb
conference,confof-iasted,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,6,0,6,-,-,0.5,SYNONYMY,alod_emb
conference,confof-iasted,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-iasted,alod_emb,ALL,0.175,0.7,0.25,0.27999999999999997,7,33,3,40,127635796,00:00:00,0.5,SYNONYMY,alod_emb
conference,ekaw-iasted,alod_emb,CLASSES,0.21212121212121213,0.7,0.25,0.3255813953488372,7,26,3,33,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-iasted,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,7,0,7,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-iasted,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,edas-iasted,alod_emb,ALL,0.1590909090909091,0.3684210526315789,0.0,0.22222222222222218,7,37,12,44,186021916,00:00:00,0.5,SYNONYMY,alod_emb
conference,edas-iasted,alod_emb,CLASSES,0.19444444444444445,0.3684210526315789,0.0,0.2545454545454545,7,29,12,36,-,-,0.5,SYNONYMY,alod_emb
conference,edas-iasted,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,8,0,8,-,-,0.5,SYNONYMY,alod_emb
conference,edas-iasted,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
