Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
largebio,alod_emb,ALL,0.63668430335097,0.268801191362621,0.0045708481462671405,0.37801047120418846,0.63668430335097,0.268801191362621,0.0045708481462671405,0.37801047120418846,722,9,412,1964,1217,49677073524,00:00:49,0.5,SYNONYMY,alod_emb
largebio,alod_emb,CLASSES,0.63668430335097,0.268801191362621,0.0045708481462671405,0.37801047120418846,0.63668430335097,0.268801191362621,0.0045708481462671405,0.37801047120418846,722,9,412,1964,1217,-,-,0.5,SYNONYMY,alod_emb
largebio,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
largebio,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
SAP_FS,alod_emb,ALL,0.2607348668323181,0.13992453405413288,0.006450321085260243,0.18211580545700476,0.7094988344988346,0.47577178585384916,0.0166358595194085,0.5695906432748539,2435,36,997,2683,3432,20855287170,00:00:20,0.5,SYNONYMY,alod_emb
SAP_FS,alod_emb,CLASSES,0.3980815347721823,0.13436439674899395,0.010526315789473684,0.20091424165366403,0.9880668257756563,0.5564516129032258,0.0030211480362537764,0.7119518486672398,414,1,5,330,419,-,-,0.5,SYNONYMY,alod_emb
SAP_FS,alod_emb,PROPERTIES,0.24786921342353097,0.14599795426570275,0.006904725257811298,0.1837594044591069,0.6707600398274145,0.46204846822130774,0.019094380796508457,0.5471774739407066,2021,35,992,2353,3013,-,-,0.5,SYNONYMY,alod_emb
SAP_FS,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,alod_emb,ALL,0.2807776105530674,0.5693562166260375,0.09403235653235653,0.3760877945258232,0.2687296416938111,0.5409836065573771,0.0915032679738562,0.35908596300326445,165,14,449,140,614,8862111487,00:00:08,0.5,SYNONYMY,alod_emb
conference,alod_emb,CLASSES,0.3604410647831701,0.621409116170476,0.0707482993197279,0.45624346329682924,0.33480176211453744,0.5868725868725869,0.09322033898305085,0.426367461430575,152,11,302,107,454,-,-,0.5,SYNONYMY,alod_emb
conference,alod_emb,PROPERTIES,0.07140411720243653,0.21507936507936506,0.0873015873015873,0.10721422449651773,0.08125,0.2826086956521739,0.08571428571428572,0.1262135922330097,13,3,147,33,160,-,-,0.5,SYNONYMY,alod_emb
conference,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
anatomy_track,alod_emb,ALL,0.7885756676557863,0.7011873350923483,0.024830699774266364,0.74231843575419,0.7885756676557863,0.7011873350923483,0.024830699774266364,0.74231843575419,1063,11,285,453,1348,24353192241,00:00:24,0.5,SYNONYMY,alod_emb
anatomy_track,alod_emb,CLASSES,0.7897473997028231,0.7011873350923483,0.024830699774266364,0.742837176799441,0.7897473997028231,0.7011873350923483,0.024830699774266364,0.742837176799441,1063,11,283,453,1346,-,-,0.5,SYNONYMY,alod_emb
anatomy_track,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,alod_emb
anatomy_track,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
largebio,COMBINED_Emb,ALL,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,1124,410,5867,1562,7113,0,00:00:00,-,-,-
largebio,COMBINED_Emb,CLASSES,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,0.1607781433271349,0.4184661206254654,0.20822752666328084,0.23230339981399192,1124,410,5867,1562,7113,-,-,-,-,-
largebio,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
largebio,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
conference,COMBINED_Emb,ALL,0.053352785513600794,0.6473809737632497,0.24546267224838653,0.0985811737525566,0.049606299212598425,0.6196721311475409,0.24183006535947713,0.09185905224787363,189,37,3621,116,3810,0,00:00:00,-,-,-
conference,COMBINED_Emb,CLASSES,0.07658726030257579,0.6988361752663812,0.26228269085411937,0.13804573245767784,0.06893787575150301,0.6640926640926641,0.2627118644067797,0.12490922294843863,172,31,2323,87,2495,-,-,-,-,-
conference,COMBINED_Emb,PROPERTIES,0.013233454743834649,0.29841269841269835,0.1746031746031746,0.025343043059777547,0.012927756653992395,0.3695652173913043,0.17142857142857143,0.024981631153563555,17,6,1298,29,1315,-,-,-,-,-
conference,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
SAP_FS,COMBINED_Emb,ALL,0.1389330972967379,0.1944700407685879,0.033760692350699284,0.1620760095551886,0.4770105861905514,0.5898788589292693,0.03789279112754159,0.5274744474534813,3019,82,3310,2099,6329,0,00:00:00,-,-,-
SAP_FS,COMBINED_Emb,CLASSES,0.33149276623968826,0.17822404587180093,0.05438596491228069,0.2318149237877206,0.7595628415300546,0.5604838709677419,0.012084592145015106,0.6450116009280742,417,4,132,327,549,-,-,-,-,-
SAP_FS,COMBINED_Emb,PROPERTIES,0.12872483110094396,0.19586387198557584,0.02427351277207099,0.1553507167709389,0.45017301038062285,0.5948788294467307,0.0425531914893617,0.5125073862517235,2602,78,3178,1772,5780,-,-,-,-,-
SAP_FS,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
anatomy_track,COMBINED_Emb,ALL,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,1192,121,3753,324,4945,0,00:00:00,-,-,-
anatomy_track,COMBINED_Emb,CLASSES,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,1192,121,3751,324,4943,-,-,-,-,-
anatomy_track,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,-,-,-
anatomy_track,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
