Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,ekaw-iasted,wordnet_syn,ALL,0.75,0.6,0.0,0.6666666666666665,6,2,4,8,77123450,00:00:00,0.5,SYNONYMY,WordNet
conference,ekaw-iasted,wordnet_syn,CLASSES,0.8571428571428571,0.6,0.0,0.7058823529411764,6,1,4,7,-,-,0.5,SYNONYMY,WordNet
conference,ekaw-iasted,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,WordNet
conference,ekaw-iasted,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,confof-iasted,wordnet_syn,ALL,0.8333333333333334,0.5555555555555556,0.2,0.6666666666666667,5,1,4,6,69571759,00:00:00,0.5,SYNONYMY,WordNet
conference,confof-iasted,wordnet_syn,CLASSES,0.8333333333333334,0.5555555555555556,0.2,0.6666666666666667,5,1,4,6,-,-,0.5,SYNONYMY,WordNet
conference,confof-iasted,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,confof-iasted,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,edas-iasted,wordnet_syn,ALL,0.8,0.42105263157894735,0.08333333333333333,0.5517241379310345,8,2,11,10,95542548,00:00:00,0.5,SYNONYMY,WordNet
conference,edas-iasted,wordnet_syn,CLASSES,0.8,0.42105263157894735,0.08333333333333333,0.5517241379310345,8,2,11,10,-,-,0.5,SYNONYMY,WordNet
conference,edas-iasted,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,edas-iasted,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
anatomy_track,mouse-human-suite,wordnet_syn,ALL,0.9635555555555556,0.7150395778364116,0.07900677200902935,0.8209011737978038,1084,41,432,1125,8325931628,00:00:08,0.5,SYNONYMY,WordNet
anatomy_track,mouse-human-suite,wordnet_syn,CLASSES,0.9652715939447908,0.7150395778364116,0.07900677200902935,0.821523304281925,1084,39,432,1123,-,-,0.5,SYNONYMY,WordNet
anatomy_track,mouse-human-suite,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-,0.5,SYNONYMY,WordNet
anatomy_track,mouse-human-suite,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,cmt-sigkdd,wordnet_syn,ALL,0.8181818181818182,0.75,0.25,0.7826086956521738,9,2,3,11,90777092,00:00:00,0.5,SYNONYMY,WordNet
conference,cmt-sigkdd,wordnet_syn,CLASSES,1.0,0.8,0.0,0.888888888888889,8,0,2,8,-,-,0.5,SYNONYMY,WordNet
conference,cmt-sigkdd,wordnet_syn,PROPERTIES,0.3333333333333333,0.5,0.5,0.4,1,2,1,3,-,-,0.5,SYNONYMY,WordNet
conference,cmt-sigkdd,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
