Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
largebio,wordnet_syn,ALL,0.9632516703786191,0.32204020848845866,0.07770441848654139,0.4827008928571429,0.9632516703786191,0.32204020848845866,0.07770441848654139,0.4827008928571429,865,153,33,1821,991,12269657419,00:00:12,0.5,SYNONYMY,WordNet
largebio,wordnet_syn,CLASSES,0.9632516703786191,0.32204020848845866,0.07770441848654139,0.4827008928571429,0.9632516703786191,0.32204020848845866,0.07770441848654139,0.4827008928571429,865,153,33,1821,991,-,-,0.5,SYNONYMY,WordNet
largebio,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
largebio,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,wordnet_syn,ALL,0.7438976244814369,0.5596988197237222,0.07132173382173382,0.6387845322352148,0.7219730941704036,0.5278688524590164,0.06535947712418301,0.6098484848484848,161,10,62,144,223,2471660253,00:00:02,0.5,SYNONYMY,WordNet
conference,wordnet_syn,CLASSES,0.8604322925751499,0.6053429532099033,0.03214285714285715,0.7106909828397923,0.8546511627906976,0.5675675675675675,0.05084745762711865,0.6821345707656613,147,6,25,112,172,-,-,0.5,SYNONYMY,WordNet
conference,wordnet_syn,PROPERTIES,0.20804988662131518,0.22301587301587303,0.11111111111111109,0.2152730810016449,0.27450980392156865,0.30434782608695654,0.11428571428571428,0.288659793814433,14,4,37,32,51,-,-,0.5,SYNONYMY,WordNet
conference,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
SAP_FS,wordnet_syn,ALL,0.4152090117046554,0.14803645545400929,0.006387484333808721,0.21825677772566832,0.8205128205128205,0.5064478311840562,0.011090573012939002,0.6263138818412468,2592,24,567,2526,3159,11338090802,00:00:11,0.5,SYNONYMY,WordNet
SAP_FS,wordnet_syn,CLASSES,0.19855769230769232,0.12383808095952024,0.0,0.152539242843952,0.9927884615384616,0.5551075268817204,0.0,0.7120689655172413,413,0,3,331,416,-,-,0.5,SYNONYMY,WordNet
