Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,confof-iasted,dbpedia_synOrHyp,ALL,0.5714285714285714,0.4444444444444444,0.0,0.5,4,3,5,7,1612776681,00:00:01,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,confof-iasted,dbpedia_synOrHyp,CLASSES,0.6666666666666666,0.4444444444444444,0.0,0.5333333333333333,4,2,5,6,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,confof-iasted,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,confof-iasted,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,ekaw-iasted,dbpedia_synOrHyp,ALL,0.75,0.6,0.0,0.6666666666666665,6,2,4,8,2286876811,00:00:02,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,ekaw-iasted,dbpedia_synOrHyp,CLASSES,0.8571428571428571,0.6,0.0,0.7058823529411764,6,1,4,7,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,ekaw-iasted,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,ekaw-iasted,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,edas-iasted,dbpedia_synOrHyp,ALL,0.875,0.3684210526315789,0.0,0.5185185185185185,7,1,12,8,2629857441,00:00:02,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,edas-iasted,dbpedia_synOrHyp,CLASSES,0.875,0.3684210526315789,0.0,0.5185185185185185,7,1,12,8,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,edas-iasted,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,edas-iasted,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,mouse-human-suite,dbpedia_synOrHyp,ALL,0.9355692850838482,0.6992084432717678,0.024830699774266364,0.8003020007550019,1060,73,456,1133,1466311571102,00:24:26,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,mouse-human-suite,dbpedia_synOrHyp,CLASSES,0.9372236958443855,0.6992084432717678,0.024830699774266364,0.8009066868152624,1060,71,456,1131,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,mouse-human-suite,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,mouse-human-suite,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,cmt-sigkdd,dbpedia_synOrHyp,ALL,0.7272727272727273,0.6666666666666666,0.0,0.6956521739130435,8,3,4,11,1263210431,00:00:01,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,cmt-sigkdd,dbpedia_synOrHyp,CLASSES,1.0,0.8,0.0,0.888888888888889,8,0,2,8,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,cmt-sigkdd,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0,3,2,3,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,cmt-sigkdd,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
