Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
largebio,dbpedia_synOrHyp,ALL,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,955,243,87,1731,1140,1787397396143,00:29:47,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
largebio,dbpedia_synOrHyp,CLASSES,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,955,243,87,1731,1140,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
largebio,dbpedia_synOrHyp,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
largebio,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,dbpedia_synOrHyp,ALL,0.7311464990036418,0.5259189940380449,0.0,0.6117801075264773,0.7089201877934272,0.49508196721311476,0.0,0.583011583011583,151,0,62,154,213,75858947705,00:01:15,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,dbpedia_synOrHyp,CLASSES,0.855565466279752,0.5866198168666296,0.0,0.6960155023236341,0.8493975903614458,0.5444015444015444,0.0,0.6635294117647059,141,0,25,118,166,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,dbpedia_synOrHyp,PROPERTIES,0.1222222222222222,0.13015873015873014,0.0,0.12606568832983925,0.2127659574468085,0.21739130434782608,0.0,0.21505376344086022,10,0,37,36,47,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
conference,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
SAP_FS,dbpedia_synOrHyp,ALL,0.5365575146935349,0.15605990801689568,0.015755773825989826,0.24179327185032476,0.8081683168316832,0.5103556076592419,0.02033271719038817,0.6256287425149701,2612,44,620,2506,3232,288740767110,00:04:48,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
SAP_FS,dbpedia_synOrHyp,CLASSES,0.5985576923076923,0.15103106341566058,0.027192982456140345,0.24120106950541909,0.992822966507177,0.5577956989247311,0.006042296072507553,0.7142857142857142,415,2,3,329,418,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
SAP_FS,dbpedia_synOrHyp,PROPERTIES,0.48032279314888005,0.15811192593748374,0.010744643484369511,0.23790924780883566,0.7807391613361763,0.5022862368541381,0.022913256955810146,0.6112966054535337,2197,42,617,2177,2814,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
SAP_FS,dbpedia_synOrHyp,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,dbpedia_synOrHyp,ALL,0.9355692850838482,0.6992084432717678,0.024830699774266364,0.8003020007550019,0.9355692850838482,0.6992084432717678,0.024830699774266364,0.8003020007550019,1060,11,73,456,1133,1466311571102,00:24:26,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
anatomy_track,dbpedia_synOrHyp,CLASSES,0.9372236958443855,0.6992084432717678,0.024830699774266364,0.8009066868152624,0.9372236958443855,0.6992084432717678,0.024830699774266364,0.8009066868152624,1060,11,71,456,1131,-,-,0.5,SYNONYMY_OR_HYPERNYMY,DBpedia
