Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
wiktionary_emb,wikidata_emb,0.05,27,1,0
wikidata_emb,wiktionary_emb,0.05,27,1,0
wiktionary_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,wiktionary_emb,0.05,28,0,0
alod_emb,babelnet_emb,0.05,24,4,0
babelnet_emb,alod_emb,0.05,24,4,0
COMBINED_Emb,wordnet_emb,0.05,28,0,0
wordnet_emb,COMBINED_Emb,0.05,28,0,0
wiktionary_emb,wiktionary_emb,0.05,0,28,0
wordnet_emb,wikidata_emb,0.05,28,0,0
wikidata_emb,wordnet_emb,0.05,28,0,0
babelnet_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,babelnet_emb,0.05,28,0,0
babelnet_emb,wikidata_emb,0.05,5,23,0
wikidata_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,wikidata_emb,0.05,28,0,0
wikidata_emb,babelnet_emb,0.05,5,23,0
dbpedia_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,dbpedia_emb,0.05,28,0,0
wikidata_emb,wikidata_emb,0.05,0,28,0
wordnet_emb,dbpedia_emb,0.05,26,0,2
dbpedia_emb,wordnet_emb,0.05,26,0,2
babelnet_emb,wordnet_emb,0.05,27,0,1
alod_emb,dbpedia_emb,0.05,25,3,0
wordnet_emb,babelnet_emb,0.05,27,0,1
dbpedia_emb,alod_emb,0.05,25,3,0
babelnet_emb,wiktionary_emb,0.05,26,2,0
wiktionary_emb,babelnet_emb,0.05,26,2,0
dbpedia_emb,wiktionary_emb,0.05,19,9,0
wiktionary_emb,dbpedia_emb,0.05,19,9,0
wordnet_emb,wordnet_emb,0.05,0,28,0
alod_emb,COMBINED_Emb,0.05,28,0,0
alod_emb,wikidata_emb,0.05,26,2,0
wikidata_emb,alod_emb,0.05,26,2,0
COMBINED_Emb,alod_emb,0.05,28,0,0
dbpedia_emb,wikidata_emb,0.05,9,19,0
wikidata_emb,dbpedia_emb,0.05,9,19,0
COMBINED_Emb,COMBINED_Emb,0.05,0,28,0
alod_emb,alod_emb,0.05,0,28,0
dbpedia_emb,babelnet_emb,0.05,3,25,0
babelnet_emb,dbpedia_emb,0.05,3,25,0
babelnet_emb,babelnet_emb,0.05,0,28,0
wiktionary_emb,wordnet_emb,0.05,14,1,13
wordnet_emb,wiktionary_emb,0.05,14,1,13
alod_emb,wiktionary_emb,0.05,3,22,3
wiktionary_emb,alod_emb,0.05,3,22,3
dbpedia_emb,dbpedia_emb,0.05,0,28,0
wordnet_emb,alod_emb,0.05,10,3,15
alod_emb,wordnet_emb,0.05,10,3,15
