Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
wikidata_emb,wiktionary_emb,0.05,26,2,0
wiktionary_emb,wikidata_emb,0.05,26,2,0
wiktionary_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,wiktionary_emb,0.05,28,0,0
babelnet_emb,alod_emb,0.05,24,4,0
alod_emb,babelnet_emb,0.05,24,4,0
COMBINED_Emb,wordnet_emb,0.05,28,0,0
wordnet_emb,COMBINED_Emb,0.05,28,0,0
wiktionary_emb,wiktionary_emb,0.05,0,28,0
wikidata_emb,wordnet_emb,0.05,28,0,0
wordnet_emb,wikidata_emb,0.05,28,0,0
babelnet_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,babelnet_emb,0.05,28,0,0
COMBINED_Emb,wikidata_emb,0.05,28,0,0
wikidata_emb,babelnet_emb,0.05,4,24,0
babelnet_emb,wikidata_emb,0.05,4,24,0
wikidata_emb,COMBINED_Emb,0.05,28,0,0
COMBINED_Emb,dbpedia_emb,0.05,28,0,0
dbpedia_emb,COMBINED_Emb,0.05,28,0,0
wikidata_emb,wikidata_emb,0.05,0,28,0
dbpedia_emb,wordnet_emb,0.05,27,1,0
wordnet_emb,dbpedia_emb,0.05,27,1,0
wordnet_emb,babelnet_emb,0.05,28,0,0
babelnet_emb,wordnet_emb,0.05,28,0,0
alod_emb,dbpedia_emb,0.05,23,5,0
dbpedia_emb,alod_emb,0.05,23,5,0
wiktionary_emb,babelnet_emb,0.05,25,3,0
babelnet_emb,wiktionary_emb,0.05,25,3,0
wiktionary_emb,dbpedia_emb,0.05,17,11,0
dbpedia_emb,wiktionary_emb,0.05,17,11,0
wordnet_emb,wordnet_emb,0.05,0,28,0
alod_emb,wikidata_emb,0.05,26,2,0
COMBINED_Emb,alod_emb,0.05,28,0,0
alod_emb,COMBINED_Emb,0.05,28,0,0
wikidata_emb,alod_emb,0.05,26,2,0
dbpedia_emb,wikidata_emb,0.05,7,21,0
wikidata_emb,dbpedia_emb,0.05,7,21,0
alod_emb,alod_emb,0.05,0,28,0
COMBINED_Emb,COMBINED_Emb,0.05,0,28,0
dbpedia_emb,babelnet_emb,0.05,3,25,0
babelnet_emb,dbpedia_emb,0.05,3,25,0
babelnet_emb,babelnet_emb,0.05,0,28,0
wiktionary_emb,wordnet_emb,0.05,18,10,0
wordnet_emb,wiktionary_emb,0.05,18,10,0
alod_emb,wiktionary_emb,0.05,6,22,0
wiktionary_emb,alod_emb,0.05,6,22,0
dbpedia_emb,dbpedia_emb,0.05,0,28,0
wordnet_emb,alod_emb,0.05,13,15,0
alod_emb,wordnet_emb,0.05,13,15,0
