Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different
wiktionary_emb,wikidata_emb,0.05,4,0
wikidata_emb,wiktionary_emb,0.05,4,0
wiktionary_emb,COMBINED_Emb,0.05,4,0
COMBINED_Emb,wiktionary_emb,0.05,4,0
alod_emb,babelnet_emb,0.05,4,0
babelnet_emb,alod_emb,0.05,4,0
COMBINED_Emb,wordnet_emb,0.05,4,0
wordnet_emb,COMBINED_Emb,0.05,4,0
wiktionary_emb,wiktionary_emb,0.05,0,4
wordnet_emb,wikidata_emb,0.05,4,0
wikidata_emb,wordnet_emb,0.05,4,0
babelnet_emb,COMBINED_Emb,0.05,4,0
COMBINED_Emb,babelnet_emb,0.05,4,0
babelnet_emb,wikidata_emb,0.05,3,1
wikidata_emb,COMBINED_Emb,0.05,4,0
COMBINED_Emb,wikidata_emb,0.05,4,0
wikidata_emb,babelnet_emb,0.05,3,1
dbpedia_emb,COMBINED_Emb,0.05,4,0
COMBINED_Emb,dbpedia_emb,0.05,4,0
wikidata_emb,wikidata_emb,0.05,0,4
wordnet_emb,dbpedia_emb,0.05,4,0
dbpedia_emb,wordnet_emb,0.05,4,0
babelnet_emb,wordnet_emb,0.05,4,0
alod_emb,dbpedia_emb,0.05,4,0
wordnet_emb,babelnet_emb,0.05,4,0
dbpedia_emb,alod_emb,0.05,4,0
babelnet_emb,wiktionary_emb,0.05,4,0
wiktionary_emb,babelnet_emb,0.05,4,0
dbpedia_emb,wiktionary_emb,0.05,4,0
wiktionary_emb,dbpedia_emb,0.05,4,0
wordnet_emb,wordnet_emb,0.05,0,4
alod_emb,COMBINED_Emb,0.05,4,0
alod_emb,wikidata_emb,0.05,4,0
wikidata_emb,alod_emb,0.05,4,0
COMBINED_Emb,alod_emb,0.05,4,0
dbpedia_emb,wikidata_emb,0.05,3,1
wikidata_emb,dbpedia_emb,0.05,3,1
COMBINED_Emb,COMBINED_Emb,0.05,0,4
alod_emb,alod_emb,0.05,0,4
dbpedia_emb,babelnet_emb,0.05,3,1
babelnet_emb,dbpedia_emb,0.05,3,1
babelnet_emb,babelnet_emb,0.05,0,4
wiktionary_emb,wordnet_emb,0.05,4,0
wordnet_emb,wiktionary_emb,0.05,4,0
alod_emb,wiktionary_emb,0.05,3,1
wiktionary_emb,alod_emb,0.05,3,1
dbpedia_emb,dbpedia_emb,0.05,0,4
wordnet_emb,alod_emb,0.05,3,1
alod_emb,wordnet_emb,0.05,3,1
