Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
SAP_FS,alod_emb,dbpedia_emb,0.05,4,1,0
SAP_FS,dbpedia_emb,alod_emb,0.05,4,1,0
conference,alod_emb,COMBINED_Emb,0.05,21,0,0
SAP_FS,wiktionary_emb,wiktionary_emb,0.05,0,5,0
conference,COMBINED_Emb,alod_emb,0.05,21,0,0
anatomy_track,babelnet_emb,babelnet_emb,0.05,0,1,0
SAP_FS,wiktionary_emb,wikidata_emb,0.05,4,1,0
SAP_FS,wikidata_emb,wiktionary_emb,0.05,4,1,0
conference,alod_emb,wikidata_emb,0.05,21,0,0
conference,wikidata_emb,alod_emb,0.05,21,0,0
largebio,babelnet_emb,babelnet_emb,0.05,0,1,0
SAP_FS,alod_emb,wordnet_emb,0.05,2,3,0
SAP_FS,wordnet_emb,alod_emb,0.05,2,3,0
largebio,wiktionary_emb,babelnet_emb,0.05,1,0,0
largebio,babelnet_emb,wiktionary_emb,0.05,1,0,0
SAP_FS,COMBINED_Emb,wiktionary_emb,0.05,5,0,0
SAP_FS,wiktionary_emb,COMBINED_Emb,0.05,5,0,0
largebio,COMBINED_Emb,babelnet_emb,0.05,1,0,0
largebio,babelnet_emb,COMBINED_Emb,0.05,1,0,0
SAP_FS,wordnet_emb,wordnet_emb,0.05,0,5,0
largebio,babelnet_emb,wikidata_emb,0.05,1,0,0
largebio,wikidata_emb,babelnet_emb,0.05,1,0,0
anatomy_track,wordnet_emb,wordnet_emb,0.05,0,1,0
largebio,wordnet_emb,dbpedia_emb,0.05,1,0,0
largebio,dbpedia_emb,wordnet_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,dbpedia_emb,0.05,0,1,0
anatomy_track,wiktionary_emb,wiktionary_emb,0.05,0,1,0
largebio,dbpedia_emb,alod_emb,0.05,1,0,0
largebio,alod_emb,dbpedia_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wikidata_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,wikidata_emb,0.05,1,0,0
largebio,alod_emb,wordnet_emb,0.05,0,1,0
largebio,wordnet_emb,alod_emb,0.05,0,1,0
conference,alod_emb,wiktionary_emb,0.05,2,19,0
conference,wiktionary_emb,alod_emb,0.05,2,19,0
anatomy_track,wikidata_emb,wikidata_emb,0.05,0,1,0
anatomy_track,wikidata_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,wikidata_emb,0.05,1,0,0
largebio,dbpedia_emb,dbpedia_emb,0.05,0,1,0
SAP_FS,wikidata_emb,babelnet_emb,0.05,0,5,0
SAP_FS,babelnet_emb,wikidata_emb,0.05,0,5,0
conference,babelnet_emb,babelnet_emb,0.05,0,21,0
SAP_FS,babelnet_emb,COMBINED_Emb,0.05,5,0,0
SAP_FS,COMBINED_Emb,babelnet_emb,0.05,5,0,0
