Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
wordnet_syn,wikidata_syn,0.05,2,4,22
wikidata_syn,wordnet_syn,0.05,2,4,22
COMBINED_Syn,babelnet_syn,0.05,3,1,24
babelnet_syn,COMBINED_Syn,0.05,3,1,24
wordnet_syn,wiktionary_syn,0.05,1,3,24
wiktionary_syn,wordnet_syn,0.05,1,3,24
dbpedia_syn,COMBINED_Syn,0.05,3,0,25
COMBINED_Syn,dbpedia_syn,0.05,3,0,25
webIsClassic_syn,webIsClassic_syn,0.05,0,28,0
wiktionary_syn,babelnet_syn,0.05,3,1,24
babelnet_syn,wiktionary_syn,0.05,3,1,24
dbpedia_syn,webIsClassic_syn,0.05,3,5,20
webIsClassic_syn,dbpedia_syn,0.05,3,5,20
babelnet_syn,webIsClassic_syn,0.05,3,0,25
webIsClassic_syn,babelnet_syn,0.05,3,0,25
dbpedia_syn,wiktionary_syn,0.05,3,2,23
wiktionary_syn,dbpedia_syn,0.05,3,2,23
dbpedia_syn,wikidata_syn,0.05,2,6,20
wikidata_syn,dbpedia_syn,0.05,2,6,20
babelnet_syn,wikidata_syn,0.05,3,3,22
wikidata_syn,babelnet_syn,0.05,3,3,22
wordnet_syn,dbpedia_syn,0.05,2,6,20
dbpedia_syn,wordnet_syn,0.05,2,6,20
babelnet_syn,babelnet_syn,0.05,0,28,0
wikidata_syn,COMBINED_Syn,0.05,2,1,25
COMBINED_Syn,wikidata_syn,0.05,2,1,25
babelnet_syn,wordnet_syn,0.05,3,4,21
wordnet_syn,babelnet_syn,0.05,3,4,21
dbpedia_syn,dbpedia_syn,0.05,0,28,0
dbpedia_syn,babelnet_syn,0.05,2,2,24
babelnet_syn,dbpedia_syn,0.05,2,2,24
wikidata_syn,wikidata_syn,0.05,0,28,0
wordnet_syn,wordnet_syn,0.05,0,28,0
wikidata_syn,webIsClassic_syn,0.05,2,3,23
webIsClassic_syn,wikidata_syn,0.05,2,3,23
wiktionary_syn,COMBINED_Syn,0.05,2,1,25
COMBINED_Syn,wiktionary_syn,0.05,2,1,25
wikidata_syn,wiktionary_syn,0.05,2,3,23
wiktionary_syn,wikidata_syn,0.05,2,3,23
COMBINED_Syn,webIsClassic_syn,0.05,2,1,25
webIsClassic_syn,COMBINED_Syn,0.05,2,1,25
wordnet_syn,COMBINED_Syn,0.05,2,1,25
COMBINED_Syn,wordnet_syn,0.05,2,1,25
wiktionary_syn,webIsClassic_syn,0.05,2,2,24
webIsClassic_syn,wiktionary_syn,0.05,2,2,24
wiktionary_syn,wiktionary_syn,0.05,0,28,0
COMBINED_Syn,COMBINED_Syn,0.05,0,28,0
webIsClassic_syn,wordnet_syn,0.05,3,3,22
wordnet_syn,webIsClassic_syn,0.05,3,3,22
