Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
wordnet_syn,wikidata_syn,0.05,13,15,0
wikidata_syn,wordnet_syn,0.05,13,15,0
COMBINED_Syn,babelnet_syn,0.05,10,18,0
babelnet_syn,COMBINED_Syn,0.05,10,18,0
wiktionary_syn,wordnet_syn,0.05,17,11,0
wordnet_syn,wiktionary_syn,0.05,17,11,0
COMBINED_Syn,dbpedia_syn,0.05,5,23,0
dbpedia_syn,COMBINED_Syn,0.05,5,23,0
webIsClassic_syn,webIsClassic_syn,0.05,0,28,0
wiktionary_syn,babelnet_syn,0.05,15,13,0
babelnet_syn,wiktionary_syn,0.05,15,13,0
dbpedia_syn,webIsClassic_syn,0.05,19,9,0
webIsClassic_syn,dbpedia_syn,0.05,19,9,0
babelnet_syn,webIsClassic_syn,0.05,14,14,0
webIsClassic_syn,babelnet_syn,0.05,14,14,0
wiktionary_syn,dbpedia_syn,0.05,22,6,0
dbpedia_syn,wiktionary_syn,0.05,22,6,0
dbpedia_syn,wikidata_syn,0.05,11,17,0
wikidata_syn,dbpedia_syn,0.05,11,17,0
wikidata_syn,babelnet_syn,0.05,12,16,0
babelnet_syn,wikidata_syn,0.05,12,16,0
dbpedia_syn,wordnet_syn,0.05,18,10,0
wordnet_syn,dbpedia_syn,0.05,18,10,0
COMBINED_Syn,wikidata_syn,0.05,10,18,0
wikidata_syn,COMBINED_Syn,0.05,10,18,0
babelnet_syn,babelnet_syn,0.05,0,28,0
babelnet_syn,wordnet_syn,0.05,21,7,0
dbpedia_syn,dbpedia_syn,0.05,0,28,0
wordnet_syn,babelnet_syn,0.05,21,7,0
babelnet_syn,dbpedia_syn,0.05,18,10,0
dbpedia_syn,babelnet_syn,0.05,18,10,0
wikidata_syn,wikidata_syn,0.05,0,28,0
wordnet_syn,wordnet_syn,0.05,0,28,0
webIsClassic_syn,wikidata_syn,0.05,10,18,0
wikidata_syn,webIsClassic_syn,0.05,10,18,0
COMBINED_Syn,wiktionary_syn,0.05,9,19,0
wiktionary_syn,COMBINED_Syn,0.05,9,19,0
wiktionary_syn,wikidata_syn,0.05,10,18,0
wikidata_syn,wiktionary_syn,0.05,10,18,0
webIsClassic_syn,COMBINED_Syn,0.05,7,21,0
COMBINED_Syn,webIsClassic_syn,0.05,7,21,0
wordnet_syn,COMBINED_Syn,0.05,7,21,0
COMBINED_Syn,wordnet_syn,0.05,7,21,0
wiktionary_syn,webIsClassic_syn,0.05,17,11,0
webIsClassic_syn,wiktionary_syn,0.05,17,11,0
wiktionary_syn,wiktionary_syn,0.05,0,28,0
COMBINED_Syn,COMBINED_Syn,0.05,0,28,0
wordnet_syn,webIsClassic_syn,0.05,20,8,0
webIsClassic_syn,wordnet_syn,0.05,20,8,0
