Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different
wordnet_syn,wikidata_syn,0.05,2,2
wikidata_syn,wordnet_syn,0.05,2,2
COMBINED_Syn,babelnet_syn,0.05,3,1
babelnet_syn,COMBINED_Syn,0.05,3,1
wordnet_syn,wiktionary_syn,0.05,2,2
wiktionary_syn,wordnet_syn,0.05,2,2
dbpedia_syn,COMBINED_Syn,0.05,3,1
COMBINED_Syn,dbpedia_syn,0.05,3,1
webIsClassic_syn,webIsClassic_syn,0.05,0,4
wiktionary_syn,babelnet_syn,0.05,3,1
babelnet_syn,wiktionary_syn,0.05,3,1
dbpedia_syn,webIsClassic_syn,0.05,3,1
webIsClassic_syn,dbpedia_syn,0.05,3,1
babelnet_syn,webIsClassic_syn,0.05,3,1
webIsClassic_syn,babelnet_syn,0.05,3,1
dbpedia_syn,wiktionary_syn,0.05,3,1
wiktionary_syn,dbpedia_syn,0.05,3,1
dbpedia_syn,wikidata_syn,0.05,2,2
wikidata_syn,dbpedia_syn,0.05,2,2
babelnet_syn,wikidata_syn,0.05,3,1
wikidata_syn,babelnet_syn,0.05,3,1
wordnet_syn,dbpedia_syn,0.05,2,2
dbpedia_syn,wordnet_syn,0.05,2,2
babelnet_syn,babelnet_syn,0.05,0,4
wikidata_syn,COMBINED_Syn,0.05,2,2
COMBINED_Syn,wikidata_syn,0.05,2,2
babelnet_syn,wordnet_syn,0.05,3,1
wordnet_syn,babelnet_syn,0.05,3,1
dbpedia_syn,dbpedia_syn,0.05,0,4
dbpedia_syn,babelnet_syn,0.05,2,2
babelnet_syn,dbpedia_syn,0.05,2,2
wikidata_syn,wikidata_syn,0.05,0,4
wordnet_syn,wordnet_syn,0.05,0,4
wikidata_syn,webIsClassic_syn,0.05,2,2
webIsClassic_syn,wikidata_syn,0.05,2,2
wiktionary_syn,COMBINED_Syn,0.05,2,2
COMBINED_Syn,wiktionary_syn,0.05,2,2
wikidata_syn,wiktionary_syn,0.05,2,2
wiktionary_syn,wikidata_syn,0.05,2,2
COMBINED_Syn,webIsClassic_syn,0.05,2,2
webIsClassic_syn,COMBINED_Syn,0.05,2,2
wordnet_syn,COMBINED_Syn,0.05,2,2
COMBINED_Syn,wordnet_syn,0.05,2,2
wiktionary_syn,webIsClassic_syn,0.05,2,2
webIsClassic_syn,wiktionary_syn,0.05,2,2
wiktionary_syn,wiktionary_syn,0.05,0,4
COMBINED_Syn,COMBINED_Syn,0.05,0,4
webIsClassic_syn,wordnet_syn,0.05,3,1
wordnet_syn,webIsClassic_syn,0.05,3,1
