Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,conference-edas,dbpedia_syn,babelnet_syn,0.05,6.0,false
conference,cmt-iasted,dbpedia_syn,babelnet_syn,0.05,0.0,true
conference,conference-confof,webIsClassic_syn,COMBINED_Syn,0.05,13.0,false
conference,ekaw-sigkdd,wordnet_syn,wikidata_syn,0.05,0.0,true
conference,confof-ekaw,webIsClassic_syn,webIsClassic_syn,0.05,1.0,false
conference,cmt-edas,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
largebio,small-fma-nci,wiktionary_syn,wikidata_syn,0.05,0.031032519500144518,true
conference,cmt-conference,COMBINED_Syn,dbpedia_syn,0.05,13.0,false
conference,edas-iasted,dbpedia_syn,wiktionary_syn,0.05,0.0,true
conference,cmt-edas,wikidata_syn,wikidata_syn,0.05,1.0,false
conference,confof-iasted,dbpedia_syn,dbpedia_syn,0.05,1.0,false
conference,confof-edas,wikidata_syn,babelnet_syn,0.05,1.0,false
largebio,small-fma-nci,wordnet_syn,webIsClassic_syn,0.05,0.0,true
conference,cmt-confof,webIsClassic_syn,COMBINED_Syn,0.05,6.0,false
conference,cmt-edas,COMBINED_Syn,wiktionary_syn,0.05,0.0,true
conference,conference-edas,babelnet_syn,COMBINED_Syn,0.05,28.0,false
conference,confof-ekaw,babelnet_syn,webIsClassic_syn,0.05,0.0,true
conference,cmt-sigkdd,dbpedia_syn,COMBINED_Syn,0.05,3.0,false
conference,cmt-iasted,dbpedia_syn,webIsClassic_syn,0.05,0.0,true
conference,conference-sigkdd,webIsClassic_syn,dbpedia_syn,0.05,1.0,false
conference,edas-ekaw,webIsClassic_syn,COMBINED_Syn,0.05,253.0,false
conference,cmt-sigkdd,COMBINED_Syn,wordnet_syn,0.05,3.0,false
conference,confof-ekaw,wikidata_syn,wiktionary_syn,0.05,0.0,true
conference,edas-sigkdd,wikidata_syn,webIsClassic_syn,0.05,0.0,true
conference,iasted-sigkdd,dbpedia_syn,wordnet_syn,0.05,0.0,true
largebio,small-fma-nci,wordnet_syn,wikidata_syn,0.05,0.03369680195497593,true
conference,cmt-ekaw,babelnet_syn,wordnet_syn,0.05,0.0,true
conference,edas-sigkdd,wiktionary_syn,wiktionary_syn,0.05,1.0,false
anatomy_track,mouse-human-suite,dbpedia_syn,wordnet_syn,0.05,2.378067187613908E-9,true
conference,confof-iasted,wiktionary_syn,webIsClassic_syn,0.05,3.0,false
conference,edas-sigkdd,COMBINED_Syn,wiktionary_syn,0.05,0.0,true
conference,confof-ekaw,dbpedia_syn,wikidata_syn,0.05,0.0,true
conference,cmt-confof,babelnet_syn,babelnet_syn,0.05,1.0,false
conference,ekaw-iasted,webIsClassic_syn,wikidata_syn,0.05,126.0,false
conference,conference-ekaw,babelnet_syn,wordnet_syn,0.05,0.0,true
conference,cmt-conference,wordnet_syn,wordnet_syn,0.05,1.0,false
conference,confof-edas,webIsClassic_syn,wordnet_syn,0.05,0.0,true
conference,conference-edas,wordnet_syn,dbpedia_syn,0.05,0.0,true
conference,conference-confof,dbpedia_syn,wikidata_syn,0.05,0.0,true
conference,edas-iasted,webIsClassic_syn,babelnet_syn,0.05,28.0,false
conference,cmt-sigkdd,wiktionary_syn,COMBINED_Syn,0.05,6.0,false
conference,cmt-confof,wiktionary_syn,wikidata_syn,0.05,6.0,false
anatomy_track,mouse-human-suite,wordnet_syn,babelnet_syn,0.05,9.111188771536716E-4,true
conference,cmt-edas,dbpedia_syn,wikidata_syn,0.05,1.0,false
conference,ekaw-iasted,dbpedia_syn,dbpedia_syn,0.05,1.0,false
conference,cmt-iasted,babelnet_syn,wikidata_syn,0.05,0.0,true
conference,conference-iasted,babelnet_syn,wiktionary_syn,0.05,6.0,false
anatomy_track,mouse-human-suite,webIsClassic_syn,wiktionary_syn,0.05,2.1014359560256324E-6,true
conference,conference-sigkdd,wikidata_syn,webIsClassic_syn,0.05,1.0,false
conference,cmt-ekaw,webIsClassic_syn,babelnet_syn,0.05,0.0,true
conference,cmt-confof,wiktionary_syn,wordnet_syn,0.05,6.0,false
conference,edas-iasted,dbpedia_syn,wikidata_syn,0.05,6.0,false
largebio,small-fma-nci,wikidata_syn,babelnet_syn,0.05,6.317942164657531E-6,true
conference,cmt-conference,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
conference,edas-ekaw,wiktionary_syn,COMBINED_Syn,0.05,506.0,false
conference,edas-ekaw,wordnet_syn,webIsClassic_syn,0.05,3.0,false
conference,iasted-sigkdd,babelnet_syn,wiktionary_syn,0.05,3.0,false
conference,confof-edas,webIsClassic_syn,COMBINED_Syn,0.05,0.0,true
conference,iasted-sigkdd,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,conference-iasted,babelnet_syn,wikidata_syn,0.05,6.0,false
conference,cmt-confof,COMBINED_Syn,COMBINED_Syn,0.05,1.0,false
conference,cmt-edas,COMBINED_Syn,COMBINED_Syn,0.05,1.0,false
conference,conference-iasted,babelnet_syn,wordnet_syn,0.05,0.0,true
conference,conference-sigkdd,wordnet_syn,wordnet_syn,0.05,1.0,false
conference,cmt-edas,wikidata_syn,babelnet_syn,0.05,0.0,true
conference,confof-iasted,dbpedia_syn,babelnet_syn,0.05,6.0,false
conference,iasted-sigkdd,webIsClassic_syn,babelnet_syn,0.05,3.0,false
conference,confof-ekaw,wordnet_syn,wiktionary_syn,0.05,0.0,true
conference,edas-ekaw,babelnet_syn,COMBINED_Syn,0.05,253.0,false
conference,ekaw-sigkdd,wikidata_syn,COMBINED_Syn,0.05,0.0,true
conference,cmt-ekaw,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,iasted-sigkdd,dbpedia_syn,COMBINED_Syn,0.05,6.0,false
conference,ekaw-sigkdd,webIsClassic_syn,COMBINED_Syn,0.05,6.0,false
conference,cmt-sigkdd,wordnet_syn,wikidata_syn,0.05,0.0,true
conference,conference-edas,dbpedia_syn,wordnet_syn,0.05,0.0,true
conference,edas-sigkdd,wikidata_syn,babelnet_syn,0.05,1.0,false
conference,cmt-sigkdd,wiktionary_syn,wikidata_syn,0.05,0.0,true
