Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,conference-iasted,babelnet_syn,dbpedia_syn,0.05,0.0,true
conference,cmt-sigkdd,wiktionary_syn,babelnet_syn,0.05,0.0,true
conference,cmt-edas,wiktionary_syn,wiktionary_syn,0.05,1.0,false
conference,conference-confof,wiktionary_syn,webIsClassic_syn,0.05,0.0,true
conference,cmt-edas,wikidata_syn,babelnet_syn,0.05,0.0,true
conference,cmt-edas,dbpedia_syn,webIsClassic_syn,0.05,1.0,false
conference,conference-iasted,webIsClassic_syn,wikidata_syn,0.05,3.0,false
conference,ekaw-iasted,dbpedia_syn,wordnet_syn,0.05,0.0,true
conference,confof-sigkdd,COMBINED_Syn,wikidata_syn,0.05,0.0,true
conference,cmt-confof,babelnet_syn,webIsClassic_syn,0.05,0.0,true
conference,confof-iasted,babelnet_syn,wiktionary_syn,0.05,13.0,false
conference,conference-sigkdd,wikidata_syn,babelnet_syn,0.05,0.0,true
conference,edas-iasted,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,cmt-conference,wikidata_syn,COMBINED_Syn,0.05,3.0,false
conference,ekaw-iasted,babelnet_syn,wordnet_syn,0.05,0.0,true
conference,ekaw-iasted,wiktionary_syn,wikidata_syn,0.05,63.0,false
conference,ekaw-iasted,wiktionary_syn,webIsClassic_syn,0.05,6.0,false
conference,cmt-edas,wikidata_syn,COMBINED_Syn,0.05,6.0,false
conference,cmt-edas,webIsClassic_syn,COMBINED_Syn,0.05,6.0,false
conference,cmt-edas,wikidata_syn,webIsClassic_syn,0.05,1.0,false
conference,confof-ekaw,wordnet_syn,wordnet_syn,0.05,1.0,false
conference,confof-sigkdd,wordnet_syn,webIsClassic_syn,0.05,0.0,true
conference,cmt-confof,webIsClassic_syn,babelnet_syn,0.05,0.0,true
conference,conference-iasted,dbpedia_syn,dbpedia_syn,0.05,1.0,false
largebio,small-fma-nci,babelnet_syn,wordnet_syn,0.05,0.01342314539705236,true
conference,ekaw-iasted,COMBINED_Syn,dbpedia_syn,0.05,4090.0,false
conference,cmt-sigkdd,COMBINED_Syn,babelnet_syn,0.05,3.0,false
conference,conference-confof,COMBINED_Syn,COMBINED_Syn,0.05,1.0,false
conference,ekaw-iasted,webIsClassic_syn,wikidata_syn,0.05,126.0,false
conference,conference-confof,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
conference,ekaw-iasted,wiktionary_syn,wiktionary_syn,0.05,1.0,false
conference,confof-sigkdd,COMBINED_Syn,babelnet_syn,0.05,3.0,false
conference,confof-iasted,babelnet_syn,webIsClassic_syn,0.05,13.0,false
conference,confof-edas,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,confof-ekaw,COMBINED_Syn,wikidata_syn,0.05,0.0,true
conference,conference-confof,COMBINED_Syn,wikidata_syn,0.05,6.0,false
conference,conference-edas,COMBINED_Syn,COMBINED_Syn,0.05,1.0,false
conference,confof-edas,dbpedia_syn,dbpedia_syn,0.05,1.0,false
conference,cmt-ekaw,dbpedia_syn,webIsClassic_syn,0.05,1.0,false
conference,confof-iasted,dbpedia_syn,COMBINED_Syn,0.05,126.0,false
conference,ekaw-sigkdd,COMBINED_Syn,babelnet_syn,0.05,0.0,true
conference,cmt-sigkdd,wordnet_syn,babelnet_syn,0.05,1.0,false
conference,cmt-confof,wikidata_syn,wordnet_syn,0.05,1.0,false
conference,cmt-sigkdd,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
conference,cmt-ekaw,COMBINED_Syn,wiktionary_syn,0.05,3.0,false
conference,conference-edas,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
conference,cmt-sigkdd,COMBINED_Syn,dbpedia_syn,0.05,3.0,false
conference,edas-iasted,dbpedia_syn,webIsClassic_syn,0.05,0.0,true
conference,conference-iasted,webIsClassic_syn,wiktionary_syn,0.05,3.0,false
conference,cmt-conference,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,ekaw-sigkdd,wiktionary_syn,dbpedia_syn,0.05,0.0,true
conference,edas-iasted,wordnet_syn,webIsClassic_syn,0.05,6.0,false
largebio,small-fma-nci,babelnet_syn,wikidata_syn,0.05,7.879795275611556E-6,true
conference,conference-edas,COMBINED_Syn,wordnet_syn,0.05,126.0,false
conference,confof-sigkdd,wikidata_syn,wordnet_syn,0.05,0.0,true
conference,confof-sigkdd,wiktionary_syn,wikidata_syn,0.05,0.0,true
anatomy_track,mouse-human-suite,wikidata_syn,wordnet_syn,0.05,0.3822794411790732,false
conference,edas-iasted,babelnet_syn,wikidata_syn,0.05,28.0,false
conference,confof-iasted,wordnet_syn,dbpedia_syn,0.05,6.0,false
conference,conference-iasted,wiktionary_syn,wiktionary_syn,0.05,1.0,false
conference,confof-edas,wiktionary_syn,wordnet_syn,0.05,0.0,true
conference,conference-edas,dbpedia_syn,wordnet_syn,0.05,0.0,true
conference,confof-sigkdd,wiktionary_syn,wordnet_syn,0.05,0.0,true
conference,conference-iasted,babelnet_syn,wikidata_syn,0.05,6.0,false
conference,conference-ekaw,dbpedia_syn,wikidata_syn,0.05,13.0,false
conference,cmt-iasted,wikidata_syn,dbpedia_syn,0.05,1.0,false
conference,conference-confof,dbpedia_syn,wiktionary_syn,0.05,0.0,true
conference,confof-sigkdd,wikidata_syn,wiktionary_syn,0.05,0.0,true
conference,iasted-sigkdd,webIsClassic_syn,wiktionary_syn,0.05,0.0,true
conference,cmt-edas,webIsClassic_syn,wordnet_syn,0.05,0.0,true
conference,edas-sigkdd,wordnet_syn,webIsClassic_syn,0.05,0.0,true
conference,conference-sigkdd,dbpedia_syn,COMBINED_Syn,0.05,0.0,true
conference,conference-edas,babelnet_syn,babelnet_syn,0.05,1.0,false
conference,conference-edas,wiktionary_syn,babelnet_syn,0.05,0.0,true
largebio,small-fma-nci,babelnet_syn,babelnet_syn,0.05,1.0,false
conference,cmt-sigkdd,webIsClassic_syn,webIsClassic_syn,0.05,1.0,false
conference,cmt-sigkdd,webIsClassic_syn,COMBINED_Syn,0.05,3.0,false
conference,cmt-confof,wordnet_syn,dbpedia_syn,0.05,1.0,false
conference,ekaw-sigkdd,wikidata_syn,dbpedia_syn,0.05,0.0,true
conference,confof-iasted,webIsClassic_syn,wiktionary_syn,0.05,3.0,false
conference,edas-ekaw,COMBINED_Syn,COMBINED_Syn,0.05,1.0,false
conference,cmt-conference,babelnet_syn,wiktionary_syn,0.05,13.0,false
conference,conference-iasted,wikidata_syn,COMBINED_Syn,0.05,28.0,false
conference,conference-edas,dbpedia_syn,babelnet_syn,0.05,6.0,false
