Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
largebio,dbpedia_syn,dbpedia_syn,0.05,0,1,0
anatomy_track,babelnet_syn,babelnet_syn,0.05,0,1,0
SAP_FS,wikidata_syn,babelnet_syn,0.05,1,4,0
SAP_FS,babelnet_syn,wikidata_syn,0.05,1,4,0
SAP_FS,wordnet_syn,wordnet_syn,0.05,0,5,0
anatomy_track,dbpedia_syn,wordnet_syn,0.05,1,0,0
anatomy_track,wordnet_syn,dbpedia_syn,0.05,1,0,0
anatomy_track,dbpedia_syn,dbpedia_syn,0.05,0,1,0
SAP_FS,wiktionary_syn,babelnet_syn,0.05,1,4,0
SAP_FS,babelnet_syn,wiktionary_syn,0.05,1,4,0
SAP_FS,babelnet_syn,COMBINED_Syn,0.05,1,4,0
SAP_FS,COMBINED_Syn,babelnet_syn,0.05,1,4,0
largebio,wordnet_syn,dbpedia_syn,0.05,0,1,0
largebio,dbpedia_syn,wordnet_syn,0.05,0,1,0
SAP_FS,webIsClassic_syn,webIsClassic_syn,0.05,0,5,0
SAP_FS,wiktionary_syn,wiktionary_syn,0.05,0,5,0
anatomy_track,wordnet_syn,wordnet_syn,0.05,0,1,0
largebio,babelnet_syn,babelnet_syn,0.05,0,1,0
SAP_FS,COMBINED_Syn,wiktionary_syn,0.05,1,4,0
SAP_FS,wiktionary_syn,COMBINED_Syn,0.05,1,4,0
largebio,webIsClassic_syn,dbpedia_syn,0.05,1,0,0
largebio,dbpedia_syn,webIsClassic_syn,0.05,1,0,0
SAP_FS,wikidata_syn,wiktionary_syn,0.05,1,4,0
SAP_FS,wiktionary_syn,wikidata_syn,0.05,1,4,0
SAP_FS,webIsClassic_syn,wordnet_syn,0.05,3,2,0
SAP_FS,wordnet_syn,webIsClassic_syn,0.05,3,2,0
largebio,wordnet_syn,webIsClassic_syn,0.05,1,0,0
SAP_FS,COMBINED_Syn,COMBINED_Syn,0.05,0,5,0
largebio,webIsClassic_syn,wordnet_syn,0.05,1,0,0
conference,webIsClassic_syn,wiktionary_syn,0.05,12,9,0
conference,wiktionary_syn,webIsClassic_syn,0.05,12,9,0
largebio,wikidata_syn,babelnet_syn,0.05,1,0,0
largebio,babelnet_syn,wikidata_syn,0.05,1,0,0
largebio,babelnet_syn,wiktionary_syn,0.05,1,0,0
largebio,wiktionary_syn,babelnet_syn,0.05,1,0,0
largebio,babelnet_syn,COMBINED_Syn,0.05,1,0,0
largebio,COMBINED_Syn,babelnet_syn,0.05,1,0,0
conference,wikidata_syn,webIsClassic_syn,0.05,8,13,0
conference,webIsClassic_syn,wikidata_syn,0.05,8,13,0
conference,webIsClassic_syn,COMBINED_Syn,0.05,5,16,0
conference,COMBINED_Syn,webIsClassic_syn,0.05,5,16,0
SAP_FS,dbpedia_syn,webIsClassic_syn,0.05,4,1,0
SAP_FS,webIsClassic_syn,dbpedia_syn,0.05,4,1,0
largebio,COMBINED_Syn,wikidata_syn,0.05,1,0,0
largebio,wikidata_syn,COMBINED_Syn,0.05,1,0,0
