Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,4,0,24
COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,4,0,24
babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,28,0
COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,28,0
wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,4,1,23
COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,4,1,23
babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,3,1,24
webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,3,1,24
dbpedia_synOrHyp,wordnet_synOrHyp,0.05,2,2,24
wordnet_synOrHyp,dbpedia_synOrHyp,0.05,2,2,24
wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,28,0
webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,4,0,24
wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,4,0,24
dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,28,0
wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,2,2,24
webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,2,2,24
wiktionary_synOrHyp,wikidata_synOrHyp,0.05,2,2,24
wikidata_synOrHyp,wiktionary_synOrHyp,0.05,2,2,24
wiktionary_synOrHyp,babelnet_synOrHyp,0.05,2,1,25
babelnet_synOrHyp,wiktionary_synOrHyp,0.05,2,1,25
COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,6,1,21
wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,6,1,21
webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,3,0,25
dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,3,0,25
wordnet_synOrHyp,babelnet_synOrHyp,0.05,3,2,23
babelnet_synOrHyp,wordnet_synOrHyp,0.05,3,2,23
dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,7,0,21
COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,7,0,21
webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,28,0
wiktionary_synOrHyp,wordnet_synOrHyp,0.05,2,1,25
wordnet_synOrHyp,wiktionary_synOrHyp,0.05,2,1,25
COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,3,1,24
wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,1,24
wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,3,1,24
dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,3,1,24
dbpedia_synOrHyp,wikidata_synOrHyp,0.05,2,6,20
wikidata_synOrHyp,dbpedia_synOrHyp,0.05,2,6,20
webIsClassic_synOrHyp,wiktionary_synOrHyp,0.05,2,1,25
wikidata_synOrHyp,wikidata_synOrHyp,0.05,0,28,0
wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,2,1,25
webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,3,1,24
COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,3,1,24
babelnet_synOrHyp,dbpedia_synOrHyp,0.05,2,2,24
dbpedia_synOrHyp,babelnet_synOrHyp,0.05,2,2,24
wikidata_synOrHyp,babelnet_synOrHyp,0.05,2,2,24
babelnet_synOrHyp,wikidata_synOrHyp,0.05,2,2,24
wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,28,0
wordnet_synOrHyp,wikidata_synOrHyp,0.05,1,2,25
wikidata_synOrHyp,wordnet_synOrHyp,0.05,1,2,25
