Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,conference-iasted,wordnet_synOrHyp,wordnet_synOrHyp,0.05,1.0,false
conference,ekaw-iasted,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,edas-sigkdd,wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,63.0,false
conference,cmt-conference,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,6.0,false
conference,conference-edas,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,126.0,false
conference,conference-edas,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,32766.0,false
conference,cmt-iasted,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,6.0,false
conference,cmt-conference,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,253.0,false
conference,edas-ekaw,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,1021.0,false
conference,edas-iasted,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,28.0,false
conference,cmt-confof,wordnet_synOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,edas-sigkdd,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,0.0,true
conference,confof-edas,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,cmt-conference,wikidata_synOrHyp,wordnet_synOrHyp,0.05,0.0,true
conference,iasted-sigkdd,wordnet_synOrHyp,dbpedia_synOrHyp,0.05,6.0,false
conference,edas-iasted,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,1.0,false
conference,confof-iasted,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,1.0,false
largebio,small-fma-nci,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,0.0,true
conference,edas-sigkdd,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,ekaw-sigkdd,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,ekaw-sigkdd,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,126.0,false
conference,confof-edas,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,confof-sigkdd,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,3.0,false
conference,cmt-edas,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,0.0,true
conference,conference-confof,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,1.0,false
conference,conference-iasted,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,1.0,false
conference,ekaw-iasted,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,63.0,false
