Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,confof-iasted,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,NaN,<undefined>
conference,cmt-conference,COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,NaN,<undefined>
conference,ekaw-iasted,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
largebio,small-fma-nci,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,conference-iasted,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
conference,cmt-sigkdd,dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,NaN,<undefined>
conference,conference-edas,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,NaN,<undefined>
conference,edas-ekaw,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
conference,confof-iasted,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,edas-ekaw,wordnet_synOrHyp,wordnet_synOrHyp,0.05,1.0,false
conference,edas-sigkdd,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,cmt-conference,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
anatomy_track,mouse-human-suite,wordnet_synOrHyp,wordnet_synOrHyp,0.05,1.0,false
conference,conference-edas,dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,NaN,<undefined>
conference,cmt-ekaw,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,NaN,<undefined>
conference,confof-iasted,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
anatomy_track,mouse-human-suite,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,1.8482294312449632E-5,true
conference,iasted-sigkdd,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,ekaw-sigkdd,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,NaN,<undefined>
conference,ekaw-iasted,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
conference,conference-confof,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,confof-sigkdd,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,1.0,false
conference,confof-sigkdd,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,cmt-conference,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,conference-iasted,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,NaN,<undefined>
conference,cmt-confof,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
largebio,small-fma-nci,wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,0.0,true
conference,confof-iasted,COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,NaN,<undefined>
conference,cmt-confof,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,conference-edas,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,confof-edas,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,edas-sigkdd,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,conference-edas,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,NaN,<undefined>
conference,edas-ekaw,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,confof-sigkdd,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,cmt-iasted,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
conference,confof-sigkdd,wordnet_synOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
conference,cmt-confof,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,cmt-conference,webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,NaN,<undefined>
conference,cmt-edas,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
largebio,small-fma-nci,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,0.018846858112390286,true
largebio,small-fma-nci,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,edas-sigkdd,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,NaN,<undefined>
conference,conference-sigkdd,wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,confof-ekaw,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,ekaw-iasted,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,1.0,false
conference,conference-iasted,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,NaN,<undefined>
conference,edas-iasted,COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,cmt-ekaw,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,NaN,<undefined>
conference,confof-iasted,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,NaN,<undefined>
conference,cmt-sigkdd,wordnet_synOrHyp,dbpedia_synOrHyp,0.05,NaN,<undefined>
conference,edas-sigkdd,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,NaN,<undefined>
