Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,cmt-edas,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,1.0,false
conference,ekaw-iasted,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,1.0,false
conference,conference-edas,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,28.0,false
conference,confof-edas,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,0.0,true
conference,ekaw-sigkdd,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,0.0,true
conference,cmt-confof,babelnet_synOrHyp,wordnet_synOrHyp,0.05,0.0,true
conference,edas-sigkdd,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,3.0,false
conference,cmt-sigkdd,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,cmt-sigkdd,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,0.0,true
conference,confof-sigkdd,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,28.0,false
conference,edas-sigkdd,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,conference-edas,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,1.0,false
conference,edas-ekaw,wikidata_synOrHyp,wikidata_synOrHyp,0.05,1.0,false
conference,conference-edas,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,126.0,false
conference,cmt-edas,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,28.0,false
anatomy_track,mouse-human-suite,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,4.545242737741262E-9,true
conference,ekaw-iasted,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,63.0,false
conference,edas-iasted,wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,1.9438312233543975E-4,true
conference,confof-sigkdd,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,63.0,false
conference,conference-sigkdd,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,edas-sigkdd,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,506.0,false
conference,cmt-confof,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,28.0,false
conference,cmt-sigkdd,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,3.0,false
conference,edas-sigkdd,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,cmt-conference,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,6.0,false
largebio,small-fma-nci,wikidata_synOrHyp,babelnet_synOrHyp,0.05,0.11056205527272733,false
conference,conference-ekaw,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,conference-sigkdd,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,13.0,false
conference,ekaw-iasted,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,262141.0,false
conference,cmt-sigkdd,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,cmt-edas,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,28.0,false
conference,cmt-edas,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,253.0,false
conference,confof-iasted,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,253.0,false
anatomy_track,mouse-human-suite,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,1.0,false
conference,ekaw-sigkdd,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,conference-confof,wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,6.0,false
conference,conference-ekaw,babelnet_synOrHyp,babelnet_synOrHyp,0.05,1.0,false
conference,ekaw-sigkdd,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,1.0,false
conference,iasted-sigkdd,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,6.0,false
conference,cmt-iasted,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
conference,conference-ekaw,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,0.0,true
conference,ekaw-iasted,COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,6.462284982466926E-6,true
conference,cmt-iasted,babelnet_synOrHyp,babelnet_synOrHyp,0.05,1.0,false
conference,edas-iasted,wikidata_synOrHyp,wordnet_synOrHyp,0.05,253.0,false
conference,cmt-ekaw,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,1.0,false
largebio,small-fma-nci,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,0.9525147320732295,false
largebio,small-fma-nci,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,0.1399825237583976,false
anatomy_track,mouse-human-suite,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,1.0,false
conference,cmt-edas,wordnet_synOrHyp,wordnet_synOrHyp,0.05,1.0,false
conference,ekaw-iasted,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,16383.0,false
conference,confof-ekaw,babelnet_synOrHyp,babelnet_synOrHyp,0.05,1.0,false
conference,edas-sigkdd,COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,2042.0,false
conference,conference-edas,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,1021.0,false
largebio,small-fma-nci,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,0.4459079323234436,false
conference,cmt-edas,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,28.0,false
conference,conference-sigkdd,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,13.0,false
conference,cmt-edas,babelnet_synOrHyp,wordnet_synOrHyp,0.05,0.0,true
conference,confof-ekaw,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,126.0,false
conference,conference-confof,wikidata_synOrHyp,babelnet_synOrHyp,0.05,28.0,false
conference,confof-iasted,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,28.0,false
conference,conference-iasted,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,1.0,false
conference,cmt-sigkdd,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,0.0,true
conference,confof-edas,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,3.0,false
conference,edas-iasted,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,126.0,false
conference,edas-iasted,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,1.0,false
conference,edas-iasted,dbpedia_synOrHyp,wordnet_synOrHyp,0.05,28.0,false
conference,conference-edas,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,0.0,true
anatomy_track,mouse-human-suite,COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,0.0,true
conference,conference-ekaw,wikidata_synOrHyp,babelnet_synOrHyp,0.05,63.0,false
conference,iasted-sigkdd,COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,65533.0,false
conference,cmt-conference,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,6.0,false
