Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
largebio,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,1,0,0
largebio,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
anatomy_track,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,1,0,0
anatomy_track,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
conference,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,9,12,0
conference,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,9,12,0
conference,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,21,0
SAP_FS,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,5,0
conference,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,0,21,0
conference,COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,0,21,0
SAP_FS,babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,5,0
SAP_FS,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,0,5,0
SAP_FS,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,0,5,0
SAP_FS,wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,3,2,0
SAP_FS,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,3,2,0
SAP_FS,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,2,3,0
SAP_FS,wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,2,3,0
conference,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,21,0
SAP_FS,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,3,2,0
SAP_FS,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,2,0
anatomy_track,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,1,0,0
conference,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,8,13,0
conference,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,8,13,0
anatomy_track,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
anatomy_track,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
SAP_FS,dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,4,1,0
SAP_FS,wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,4,1,0
anatomy_track,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,0,1,0
anatomy_track,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,0,1,0
conference,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,21,0
largebio,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,1,0
anatomy_track,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
anatomy_track,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
anatomy_track,babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,1,0
conference,wikidata_synOrHyp,dbpedia_synOrHyp,0.05,9,12,0
conference,dbpedia_synOrHyp,wikidata_synOrHyp,0.05,9,12,0
anatomy_track,wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,1,0
largebio,babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,1,0
SAP_FS,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,1,4,0
SAP_FS,webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,1,4,0
largebio,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
largebio,wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
largebio,wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,0,1,0
largebio,COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,0,1,0
conference,wikidata_synOrHyp,wikidata_synOrHyp,0.05,0,21,0
conference,wordnet_synOrHyp,babelnet_synOrHyp,0.05,11,10,0
conference,babelnet_synOrHyp,wordnet_synOrHyp,0.05,11,10,0
anatomy_track,dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
anatomy_track,COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,1,0,0
anatomy_track,babelnet_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
largebio,COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
anatomy_track,wordnet_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
largebio,webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,1,0,0
largebio,wordnet_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
largebio,babelnet_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
SAP_FS,wikidata_synOrHyp,babelnet_synOrHyp,0.05,1,4,0
SAP_FS,babelnet_synOrHyp,wikidata_synOrHyp,0.05,1,4,0
largebio,webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,1,0,0
largebio,dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
SAP_FS,babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,1,4,0
SAP_FS,webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,1,4,0
conference,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,2,19,0
conference,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,2,19,0
conference,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,5,16,0
conference,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,5,16,0
SAP_FS,COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,4,1,0
SAP_FS,dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,4,1,0
SAP_FS,wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,5,0
largebio,wiktionary_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
largebio,babelnet_synOrHyp,wiktionary_synOrHyp,0.05,1,0,0
largebio,wikidata_synOrHyp,wiktionary_synOrHyp,0.05,1,0,0
largebio,wiktionary_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
anatomy_track,wikidata_synOrHyp,babelnet_synOrHyp,0.05,1,0,0
anatomy_track,babelnet_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
conference,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,2,19,0
conference,wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,2,19,0
largebio,webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
largebio,wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
largebio,COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,0,1,0
largebio,wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,0,1,0
anatomy_track,webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,1,0,0
anatomy_track,wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,1,0,0
conference,wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,1,20,0
conference,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,7,14,0
conference,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,7,14,0
conference,webIsClassic_synOrHyp,wiktionary_synOrHyp,0.05,1,20,0
SAP_FS,COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,5,0
SAP_FS,wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,4,1,0
SAP_FS,COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,4,1,0
anatomy_track,dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,1,0
SAP_FS,wordnet_synOrHyp,wiktionary_synOrHyp,0.05,1,4,0
SAP_FS,wiktionary_synOrHyp,wordnet_synOrHyp,0.05,1,4,0
conference,wikidata_synOrHyp,wordnet_synOrHyp,0.05,10,11,0
conference,wordnet_synOrHyp,wikidata_synOrHyp,0.05,10,11,0
largebio,dbpedia_synOrHyp,babelnet_synOrHyp,0.05,0,1,0
largebio,babelnet_synOrHyp,dbpedia_synOrHyp,0.05,0,1,0
anatomy_track,webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,1,0
largebio,wikidata_synOrHyp,wordnet_synOrHyp,0.05,1,0,0
